LINK,A,B,a0,a1,a2,a3,a4
0,1,2,6,0,0,0,2.0000000003439408e-18
1,1,3,4,0,0,0,2.000000001096302e-18
2,2,1,6,0,0,0,2.0000000003439408e-18
3,2,6,5,0,0,0,1.2409999999794964e-15
4,3,1,4,0,0,0,2.000000001096302e-18
5,3,4,4,0,0,0,6.999999995786057e-18
6,3,12,4,0,0,0,2.000000001096302e-18
7,4,3,4,0,0,0,6.999999995786057e-18
8,4,5,2,0,0,0,3.0000000002626562e-18
9,4,11,6,0,0,0,1.5500000002460382e-15
10,5,4,2,0,0,0,3.0000000002626562e-18
11,5,6,4,0,0,0,1.000999999657531e-15
12,5,9,5,0,0,0,7.500000000000001e-17
13,6,2,5,0,0,0,1.2409999999794964e-15
14,6,5,4,0,0,0,1.000999999657531e-15
15,6,8,2,0,0,0,5.209999998180762e-16
16,7,8,3,0,0,0,1.1900000001999076e-16
17,7,18,2,0,0,0,1.000000000548151e-18
18,8,6,2,0,0,0,5.209999998180762e-16
19,8,7,3,0,0,0,1.1900000001999076e-16
20,8,9,10,0,0,0,2.3060000003890875e-15
21,8,16,5,0,0,0,1.156999999572462e-15
22,9,5,5,0,0,0,7.500000000000001e-17
23,9,8,10,0,0,0,2.3060000003890875e-15
24,9,10,3,0,0,0,1.1999999995063003e-17
25,10,9,3,0,0,0,1.1999999995063003e-17
26,10,11,5,0,0,0,7.500000000000001e-17
27,10,15,6,0,0,0,2.699999998457645e-17
28,10,16,4,0,0,0,1.080000000065165e-15
29,10,17,8,0,0,0,1.9299999994750874e-15
30,11,4,6,0,0,0,1.5500000002460382e-15
31,11,10,5,0,0,0,7.500000000000001e-17
32,11,12,6,0,0,0,1.5500000002460382e-15
33,11,14,4,0,0,0,1.0610000003948402e-15
34,12,3,4,0,0,0,2.000000001096302e-18
35,12,11,6,0,0,0,1.5500000002460382e-15
36,12,13,3,0,0,0,1.0000000001719704e-18
37,13,12,3,0,0,0,1.0000000001719704e-18
38,13,24,4,0,0,0,8.930000000108428e-16
39,14,11,4,0,0,0,1.0610000003948402e-15
40,14,15,5,0,0,0,1.0850000001199862e-15
41,14,23,4,0,0,0,1.02000000004517e-15
42,15,10,6,0,0,0,2.699999998457645e-17
43,15,14,5,0,0,0,1.0850000001199862e-15
44,15,19,3,0,0,0,1.0000000003349732e-17
45,15,22,3,0,0,0,5.3000000006463857e-17
46,16,8,5,0,0,0,1.156999999572462e-15
47,16,10,4,0,0,0,1.080000000065165e-15
48,16,17,2,0,0,0,4.010000000338165e-16
49,16,18,3,0,0,0,3.0000000016184863e-18
50,17,10,8,0,0,0,1.9299999994750874e-15
51,17,16,2,0,0,0,4.010000000338165e-16
52,17,19,2,0,0,0,5.539999998417702e-16
53,18,7,2,0,0,0,1.000000000548151e-18
54,18,16,3,0,0,0,3.0000000016184863e-18
55,18,20,4,0,0,0,2.000000001096302e-18
56,19,15,3,0,0,0,1.0000000003349732e-17
57,19,17,2,0,0,0,5.539999998417702e-16
58,19,20,4,0,0,0,9.579999998589446e-16
59,20,18,4,0,0,0,2.000000001096302e-18
60,20,19,4,0,0,0,9.579999998589446e-16
61,20,21,6,0,0,0,1.3730000005271281e-15
62,20,22,5,0,0,0,1.1300000001271252e-15
63,21,20,6,0,0,0,1.3730000005271281e-15
64,21,22,2,0,0,0,4.010000000338165e-16
65,21,24,3,0,0,0,7.899999998106578e-16
66,22,15,3,0,0,0,5.3000000006463857e-17
67,22,20,5,0,0,0,1.1300000001271252e-15
68,22,21,2,0,0,0,4.010000000338165e-16
69,22,23,4,0,0,0,9.600000000000002e-16
70,23,14,4,0,0,0,1.02000000004517e-15
71,23,22,4,0,0,0,9.600000000000002e-16
72,23,24,2,0,0,0,4.51000000031509e-16
73,24,13,4,0,0,0,8.930000000108428e-16
74,24,21,3,0,0,0,7.899999998106578e-16
75,24,23,2,0,0,0,4.51000000031509e-16
