Id,X,Y
1,293.0,2767.0
2,390.0,8535.0
3,802.0,1927.0
4,874.0,3363.0
5,885.0,6210.0
6,1020.0,2288.0
7,1036.0,1720.0
8,1260.0,2258.0
9,1314.0,1542.0
10,1410.0,2722.0
11,1515.0,4650.0
12,1582.0,2190.0
13,1902.0,3911.0
14,2288.0,8593.0
15,2580.0,4035.0
16,2790.0,2002.0
17,2842.0,7080.0
18,2902.0,802.0
19,3127.0,9308.0
20,3330.0,2025.0
21,3412.0,3690.0
22,3705.0,8077.0
23,3802.0,600.0
24,4185.0,2160.0
25,4373.0,555.0
26,4575.0,2992.0
27,4747.0,1890.0
28,4792.0,2175.0
29,4912.0,9353.0
30,4920.0,2962.0
31,4965.0,7485.0
32,4966.0,6217.0
33,4995.0,3472.0
34,4996.0,4718.0
35,5295.0,1635.0
36,5377.0,2662.0
37,5452.0,1905.0
38,5512.0,420.0
39,5625.0,1462.0
40,5970.0,1327.0
41,6067.0,9248.0
42,6097.0,1575.0
43,6307.0,3052.0
44,6382.0,97.0
45,6592.0,1095.0
46,6622.0,1335.0
47,6630.0,3217.0
48,6750.0,2265.0
49,6930.0,7785.0
50,7020.0,7432.0
51,7032.0,7035.0
52,7671.0,4830.0
53,7710.0,8400.0
54,7942.0,7665.0
55,8330.0,7087.0
56,8595.0,3870.0
57,8648.0,2340.0
58,8745.0,5182.0
59,8757.0,6577.0
60,8985.0,1177.0
61,9105.0,4995.0
62,9203.0,5280.0
63,9589.0,6900.0
64,9645.0,5370.0
65,9810.0,3472.0
66,9862.0,2722.0
67,9949.0,7140.0
68,10118.0,7965.0
69,10305.0,2820.0
70,10365.0,9660.0
71,10718.0,8055.0
72,10748.0,9758.0
73,10823.0,7620.0
74,11138.0,8408.0
75,11318.0,7920.0
76,11632.0,3713.0
77,11827.0,4695.0
78,11940.0,5175.0
79,12120.0,3390.0
80,12157.0,5423.0
81,12352.0,4643.0
82,12360.0,5108.0
